date,close,open,high,low,amt,MA5,MA10,MA20,DIF,DEA,MACD,K,D,J,RSI,WR,WR1,BIAS1,BIAS2,BIAS3,PSY,PSYMA,CCI,ATR,BBI
20140210,"2,086.07","2,049.98","2,087.97","2,049.98",12.43,2050.414,2044.2,2032.7115,-6.822,-14.564,15.483,80.83351666,72.56555478,97.36944044,43.253,1.98,2.593,1.881,2.433,2.157,58.333,52.778,181.3477819,24.592,2042.834958
20140211,"2,103.67","2,086.18","2,111.06","2,082.52",14.22,2063.446,2053.736,2035.529,-1.709,-11.993,20.566,84.66595867,76.59902274,100.7998305,46.535,7.236,7.669,2.155,2.882,3.045,66.667,56.944,226.2822324,24.8675,2054.410583
20140212,"2,109.96","2,103.83","2,110.90","2,096.51",12.63,2075.456,2059.557,2038.81,2.817,-9.031,23.696,89.39678827,80.86494459,106.4604757,47.664,1.142,1.142,1.871,2.693,3.352,75,61.111,181.9557098,24.295,2066.136042
20140213,"2,098.40","2,106.93","2,122.83","2,096.97",14.65,2088.52,2065.179,2042.349,5.41,-6.143,23.104,85.40013389,82.37667435,91.44705296,45.809,22.593,22.593,0.92,1.758,2.754,66.667,62.5,141.2908493,24.0505,2071.945583
20140214,"2,115.85","2,097.32","2,116.19","2,095.09",11.15,2102.79,2071.325,2047.4765,8.771,-3.16,23.862,88.11502498,84.2894579,95.76615916,48.939,6.455,6.455,1.088,2.339,3.46,66.667,65.278,116.8722911,24.041,2079.026625
20140217,"2,135.41","2,124.88","2,136.45","2,117.69",14.02,2112.658,2081.536,2053.769,12.865,0.045,25.64,91.79194684,86.79028755,101.7952654,52.171,0.854,1.203,1.289,2.899,4.229,75,68.056,132.9573872,23.732,2088.450792
20140218,"2,119.07","2,134.14","2,134.14","2,113.13",14.29,2115.738,2089.592,2058.3805,14.622,2.961,23.324,89.76957989,87.78338499,93.74196969,49.443,14.275,32.227,0.253,1.847,3.275,66.667,69.444,98.0169397,23.5315,2094.048667
20140219,"2,142.55","2,116.92","2,152.96","2,111.17",15.13,2122.256,2098.856,2064.3405,17.706,5.91,23.592,90.66995572,88.74557524,94.51871668,53.118,7.529,17.989,1.054,2.527,4.176,75,70.833,105.0788067,24.7605,2101.659708
20140220,"2,138.78","2,152.89","2,177.98","2,136.48",15.71,2130.332,2109.426,2070.0945,19.619,8.651,21.935,83.57163714,87.0209292,76.67305302,52.479,24.008,47.292,0.648,1.939,3.729,66.667,69.444,114.7774289,25.8205,2106.668833
20140221,"2,113.69","2,131.59","2,132.70","2,098.33",11.77,2129.9,2116.345,2075.5315,18.893,10.7,16.386,66.59856472,80.21347438,39.3687454,48.432,50.227,77.561,-0.652,0.488,2.297,58.333,68.056,43.17443852,26.7245,2109.545583
20140224,"2,076.69","2,099.72","2,099.72","2,058.79",12.36,2118.156,2115.407,2079.8035,15.157,11.591,7.132,49.40505595,69.94400157,8.327164723,43.294,84.982,84.982,-2.091,-1.441,0.405,58.333,66.667,-39.52067217,28.4135,2104.402125
20140225,"2,034.22","2,077.28","2,087.62","2,026.54",14.01,2101.186,2108.462,2081.099,8.669,11.007,-4.675,34.62714243,58.17171519,-12.4620031,38.414,94.929,94.929,-3.324,-3.417,-1.67,50,62.5,-105.3592224,30.3225,2091.58225
20140226,"2,041.25","2,026.61","2,041.63","2,014.38",11.01,2080.926,2101.591,2080.574,4.049,9.615,-11.133,28.55949674,48.30097571,-10.92346118,39.59,83.576,83.576,-2.388,-2.911,-1.365,50,59.722,-141.091815,29.4835,2081.238083
20140227,"2,047.35","2,045.10","2,068.31","2,036.39",13.22,2062.64,2096.486,2080.8325,0.869,7.866,-13.994,25.75726841,40.78640661,-4.30100799,40.617,79.847,79.847,-1.348,-2.403,-1.154,50,55.556,-108.3868779,30.4055,2073.717708
20140228,"2,056.30","2,040.62","2,058.49","2,020.93",11.16,2051.162,2090.531,2080.928,-0.918,6.109,-14.055,25.71266957,35.76182759,5.614353512,42.123,74.377,64.571,-0.256,-1.767,-0.852,50,52.778,-106.1383654,30.9565,2071.027
20140303,"2,075.23","2,052.08","2,078.33","2,047.07",12.75,2050.87,2084.513,2083.0245,-0.798,4.728,-11.052,29.53990522,33.68785347,21.24400872,45.192,62.806,28.697,0.976,-0.772,-0.073,58.333,52.778,-51.6790558,31.2815,2072.297583
20140304,"2,071.47","2,068.11","2,074.03","2,050.12",11.59,2058.32,2079.753,2084.6725,-0.995,3.583,-9.156,31.32529949,32.90033547,28.17522751,44.7,65.104,22.051,0.836,-0.776,-0.294,50,51.389,-47.74647236,31.53,2073.5775
